"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 02 11:16:09 GMT 2022","Wed Nov 02 11:16:10 GMT 2022","1768","","com.wegotrip.StepsTest","","com.wegotrip.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Wed Nov 02 11:15:58 GMT 2022","Wed Nov 02 11:16:06 GMT 2022","8391","","com.wegotrip.AnnotationStepsTest","","com.wegotrip.AnnotationStepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Wed Nov 02 11:16:06 GMT 2022","Wed Nov 02 11:16:09 GMT 2022","2271","","com.wegotrip.SelenideTest","","com.wegotrip.SelenideTest","testIssueSearch","testIssueSearch()",""
